FIPS,pWhite,pBlack,pNative,pAsian,pPacific,pOther,pTwo_or_More
50001960100,97.39,0.29,0.08,0.67,0,0.29,1.28
50001960200,96.22,0.61,0.36,0.9,0.11,0.32,1.48
50001960300,92.81,3.01,0.27,0.89,0,0.7,2.32
50001960400,97.62,0.35,0.24,0.39,0.04,0.41,0.94
50001960500,96.66,0.23,0.08,0.72,0,0.62,1.69
50001960600,96.9,0.34,0.57,0.38,0,0.11,1.7
50001960700,96.13,0.56,0.2,1.29,0,0.1,1.72
50001960800,85.31,2.03,0.15,6.96,0.02,1.37,4.16
50001960900,97.21,0.39,0.24,0.47,0,0.86,0.82
50001961000,97.67,0.27,0.45,0.4,0,0.18,1.03
50003970200,98.18,0.44,0.1,0.25,0,0.1,0.94
50003970300,95.89,0.45,0.27,1.07,0,0.54,1.79
50003970400,96.31,1.39,0.2,1.16,0,0.18,0.75
50003970500,96.16,0.61,0.23,0.92,0,0.08,2
50003970600,97.8,0.16,0.03,0.36,0.03,0.13,1.49
50003970700,97.15,0.35,0.22,0.69,0.04,0.09,1.47
50003970800,96.88,0.36,0.08,0.61,0.03,0.42,1.62
50003970900,97.08,0.97,0.04,0.4,0.31,0.27,0.93
50003971000,94.03,1.89,0.24,1.78,0,0.59,1.46
50003971100,96.85,0.7,0.42,0.66,0.08,0.47,0.83
50003971200,95.76,1.22,0.43,0.47,0.04,0.34,1.73
50003971300,97.87,0.34,0.45,0.28,0,0.23,0.82
50005957000,97.19,0.28,0.35,0.19,0,0.47,1.52
50005957100,97.55,0.13,0.53,0.27,0,0.22,1.29
50005957200,97.24,0.19,0.26,0.94,0,0.26,1.1
50005957300,94.09,0.9,0.42,2.73,0,0.36,1.5
50005957400,94.78,1.22,0.65,1.43,0,0.42,1.51
50005957500,96.51,0.32,0.69,0.91,0,0.32,1.25
50005957600,97.77,0.27,0.05,0.46,0,0.27,1.18
50005957700,96.15,0.6,0.56,0.33,0,0.03,2.33
50005957800,97.61,0.34,0.27,0.1,0.03,0.31,1.33
50005957900,97.42,0.8,0.44,0.3,0,0.13,0.9
50007000100,86.2,4.69,0.26,5.41,0.04,0.57,2.82
50007000200,92.55,2.61,0.14,2.52,0.07,0.39,1.71
50007000300,77.2,9.91,0.35,8.03,0.09,0.47,3.94
50007000400,80.88,7.15,0.51,6.83,0.06,0.98,3.59
50007000500,92.47,2.11,0.36,2.28,0.07,0.9,1.8
50007000600,91.33,2.61,0.21,2.82,0.02,0.58,2.42
50007000800,92.75,1.67,0.29,2.32,0,0.41,2.57
50007000900,93.94,2.04,0.32,1.55,0.07,0.28,1.8
50007001000,83.72,7.89,1.1,2.74,0.04,0.46,4.05
50007001100,90.29,3.88,0.29,2.02,0.08,0.83,2.6
50007002101,97.2,0.32,0.18,0.43,0,0.11,1.77
50007002102,96.76,0.78,0.37,0.6,0.03,0.07,1.39
50007002200,92.81,1.78,0.29,3.16,0.05,0.4,1.52
50007002301,96.2,0.77,0.45,0.95,0.05,0.09,1.49
50007002302,96.38,0.69,0.21,1.15,0.02,0.23,1.33
50007002400,79.85,7.96,0.46,6.85,0,0.68,4.2
50007002500,84.9,5.96,0.25,5.59,0.02,0.62,2.66
50007002601,91.4,1.73,0.48,3.99,0.02,0.6,1.77
50007002602,91.71,1.59,0.29,3.79,0,0.46,2.15
50007002701,93.58,1.58,0.09,2.96,0.02,0.39,1.38
50007002702,94.27,1.01,0.2,2.23,0,0.26,2.03
50007002800,97.36,0.64,0.18,0.58,0,0.3,0.94
50007002900,97.27,0.39,0.29,0.47,0.02,0.11,1.46
50007003000,97.04,0.32,0.12,0.56,0,0.15,1.81
50007003100,95.59,1,0.18,1.95,0,0.2,1.08
50007003301,89.19,0.98,0.06,7.61,0,0.25,1.91
50007003304,89.68,2.57,0.24,5.17,0.1,0.37,1.87
50007003400,96.53,0.67,0.18,1.33,0.01,0.21,1.06
50007003501,97.44,0.48,0.13,0.85,0.08,0.21,0.8
50007003502,96.41,0.37,0.41,0.63,0.1,0.2,1.87
50007003503,96.65,0.56,0.15,0.81,0,0,1.83
50007003600,89.38,1.33,0.27,5.94,0,0.44,2.64
50007003900,91.52,2.02,0.13,2.82,0.02,0.98,2.52
50007004002,91.64,2.46,0.18,3.53,0,0.37,1.82
50007980000,,,,,,,
50009950100,97.72,0.11,0.38,0.43,0,0.33,1.03
50009950200,96.97,0.41,0.9,0.33,0,0.08,1.31
50009950500,97.25,0.34,0.56,0.31,0,0.06,1.48
50011010100,94.94,0.27,1.68,0.25,0.03,0.27,2.57
50011010200,96.15,0.36,0.89,0.36,0,0.36,1.88
50011010300,95.64,0.37,0.77,0.28,0.03,0.09,2.82
50011010400,96.89,0.28,0.5,0.22,0.06,0.34,1.71
50011010500,93.37,0.3,2.46,0.48,0,0.36,3.03
50011010600,95.87,0.82,0.68,0.45,0,0.27,1.92
50011010700,93.6,1.19,1.39,0.81,0.03,0.17,2.81
50011010800,94.84,0.4,0.55,1.04,0.14,0.46,2.57
50011010900,97.67,0.27,0.31,0.62,0.04,0.16,0.93
50011011000,97.61,0.38,0.31,0.54,0.02,0.14,1.01
50013020100,93.55,0.21,1.34,0.21,0.09,0.34,4.25
50013020200,96.81,0.49,0.59,0.38,0.03,0.19,1.51
50015953000,97.27,0.21,0.68,0.13,0,0.21,1.49
50015953100,97.19,0.38,0.25,0.36,0.05,0.11,1.67
50015953200,94.72,1.28,0.67,0.64,0.03,0.52,2.15
50015953300,96.11,0.81,0.41,0.37,0,0.61,1.69
50015953400,97.71,0.24,0.43,0.28,0.04,0.28,1.03
50015953500,96.52,0.69,0.29,0.61,0,0.36,1.53
50015953600,97.33,0.46,0.19,0.86,0,0.28,0.88
50017959000,96.66,0.18,0.32,0.72,0.05,0.45,1.62
50017959101,98.06,0.33,0.33,0.28,0,0.28,0.71
50017959102,96.77,0.31,0.47,0.16,0.04,0.24,2.01
50017959200,97.82,0.18,0.15,0.5,0,0.21,1.15
50017959300,97.79,0.16,0.32,0.2,0,0.12,1.42
50017959400,96.86,0.5,0.27,0.82,0,0.27,1.28
50017959500,96.25,0.69,0.21,0.25,0,0.34,2.25
50017959600,96.68,0.58,0.39,0.73,0,0.04,1.58
50017959700,97.79,0.12,0.25,0.25,0,0.31,1.29
50017959800,96.53,0.36,0.36,0.68,0.04,0.57,1.47
50019951100,96.54,0.25,0.75,0.17,0,0.5,1.79
50019951200,97.61,0.42,0.18,0.42,0.04,0.18,1.16
50019951300,97.52,0.4,0.28,0.11,0,0.06,1.64
50019951400,92.85,2.37,0.99,0.59,0.25,0.35,2.61
50019951500,96.1,0.74,0.82,0.55,0,0.39,1.41
50019951600,97.89,0.19,0.32,0.23,0,0.28,1.09
50019951700,96.18,0.55,0.29,0.41,0.05,0.76,1.77
50019951800,96.19,0.82,0.25,0.57,0,0,2.17
50019951900,96.99,0.21,0.74,0.12,0.04,0.37,1.53
50019952000,97.35,0.58,0.16,0.16,0,0.05,1.7
50021962100,97.95,0.17,0.17,0.89,0,0.33,0.5
50021962200,97.73,0.28,0.25,0.53,0,0.05,1.16
50021962300,97.64,0.43,0.31,0.12,0.04,0.04,1.43
50021962400,97.09,0.37,0.64,0.53,0,0.07,1.3
50021962500,98.22,0.11,0,0.06,0.11,0.06,1.44
50021962600,97.16,0.82,0.34,0.52,0,0.13,1.03
50021962700,97.88,0.39,0.12,0.79,0.02,0.15,0.64
50021962800,96.79,0.44,0.31,0.92,0,0.27,1.26
50021963000,96.87,0.53,0.11,1.12,0,0.23,1.14
50021963100,94.66,1.17,0.5,0.65,0.06,0.59,2.38
50021963200,95.18,0.91,0.38,0.54,0.03,0.41,2.55
50021963300,96.37,0.78,0.32,0.7,0.02,0.36,1.44
50021963400,97.12,0.43,0.12,1.13,0,0.08,1.13
50021963500,97.49,0.45,0.39,0.34,0,0.06,1.28
50021963600,97.82,0.45,0.15,0.51,0,0.3,0.78
50021963700,97.26,0.33,0.18,0.44,0.04,0.51,1.24
50021963800,96.4,1.03,0.17,0.63,0.02,0.44,1.31
50021964000,98.28,0.3,0.06,0.27,0,0.03,1.06
50021964200,98.53,0,0.13,0.19,0,0.13,1.02
50021964300,96.89,0.47,0.14,0.2,0,0.27,2.03
50023954000,96.41,0.66,0.42,0.33,0,0.14,2.04
50023954100,97.06,0.44,0.28,0.8,0,0.08,1.35
50023954200,96.59,0.7,0.4,0.48,0,0.18,1.65
50023954300,96.54,0.39,0.22,0.93,0.04,0.32,1.56
50023954400,96.89,0.4,0.23,0.93,0,0.37,1.17
50023954500,97.06,0.45,0.14,0.38,0.03,0.31,1.63
50023954600,93.74,0.59,0.36,2.03,0,0.5,2.79
50023954700,93.09,1.53,0.07,3.06,0.07,0,2.19
50023954800,92.94,1.12,0.49,2.14,0,0.76,2.55
